code,name,cat,verdict,detail
017301,安信数字经济股票发起C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-21
026946,中欧盈福稳健6个月持有混合(FOF)C,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
018334,华夏中证智选1000成长创新策略ETF发起式联接A,etf_lof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
018293,华夏国证2000指数增强发起式C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-24
027238,交银盈享多资产六个月持有期混合(FOF),fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027027,华安中证电池主题指数C,backend_share,no_series,
017726,鑫元成长驱动股票发起式A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-26
027787,国富港股通核心增益混合C,backend_share,no_series,
161659,融通动力先锋混合A/B(后端),other,no_series,
027967,平安中证农业主题指数发起式A,other,no_series,
041004,华安宝利配置混合(后端),other,no_series,
027482,工银盈瑞稳健6个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
161660,融通领先成长混合(LOF)A(后端),etf_lof,no_series,
163410,兴全绿色投资混合(LOF)(后端),etf_lof,no_series,
240015,华宝中证A100ETF联接A(后端),etf_lof,no_series,
508021,国泰海通临港创新产业园REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-12-30
508069,华夏南京交通高速公路REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-10-16
163403,兴全趋势投资混合(LOF)(后端),etf_lof,no_series,
508093,易方达广西北投高速REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-06
960019,招商行业领先混合H,backend_share,no_series,
026951,广发招瑞多元机遇6个月持有混合(FOF)C,fof,no_series,
027305,中航新能源产业混合A,other,no_series,
028598,富国医药健康混合发起式C,backend_share,no_series,
028283,东吴瑞欣债券A,bond_periodic,no_series,
001049,富国新兴产业股票A(后端),other,no_series,
041007,华安中小盘成长混合(后端),other,no_series,
016391,易米研究精选混合发起C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-04-26
180202,华夏越秀高速REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2021-12-02
519707,交银深证300价值ETF联接(后端),etf_lof,no_series,
202022,南方小康ETF联接A(后端),etf_lof,no_series,
028285,联博汇鑫债券A,bond_periodic,no_series,
027985,汇安启明混合A,other,no_series,
028312,东吴嘉睿6个月持有混合发起式C,backend_share,no_series,
028381,华夏创业板软件ETF发起式联接A,etf_lof,no_series,
